city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
1,240,3,3,4,-,acept,furnished,R$0,"R$8,000","R$1,000",R$121,"R$9,121"
0,64,2,1,1,10,acept,not furnished,R$540,R$820,R$122,R$11,"R$1,493"
1,443,5,5,4,3,acept,furnished,"R$4,172","R$7,000","R$1,417",R$89,"R$12,680"
1,73,2,2,1,12,acept,not furnished,R$700,"R$1,250",R$150,R$16,"R$2,116"
1,19,1,1,0,-,not acept,not furnished,R$0,"R$1,200",R$41,R$16,"R$1,257"
1,13,1,1,0,2,acept,not furnished,R$0,"R$2,200",R$42,R$28,"R$2,270"
1,55,1,1,1,2,acept,furnished,"R$1,950","R$5,000",R$375,R$64,"R$7,389"
1,55,2,2,1,2,acept,not furnished,R$600,"R$1,300",R$67,R$17,"R$1,984"
1,82,3,1,1,3,acept,furnished,R$828,"R$2,000",R$109,R$26,"R$2,963"
1,32,1,1,1,16,acept,not furnished,R$533,"R$2,900",R$0,R$37,"R$3,470"
0,60,1,1,0,6,acept,not furnished,R$480,R$720,R$20,R$10,"R$1,230"
0,64,1,2,1,4,acept,furnished,R$406,"R$1,550",R$0,R$7,"R$1,963"
1,20,1,1,0,4,acept,furnished,R$602,"R$1,800",R$130,R$23,"R$2,555"
1,375,4,5,5,1,acept,not furnished,"R$4,793","R$15,000","R$2,805",R$191,"R$22,790"
1,92,2,1,1,7,not acept,furnished,R$690,"R$3,950",R$0,R$51,"R$4,691"
0,56,2,1,1,1,acept,not furnished,R$345,R$950,R$11,R$13,"R$1,319"
0,188,2,3,8,-,acept,not furnished,R$0,"R$3,010",R$584,R$46,"R$3,640"
1,100,3,2,1,-,acept,not furnished,R$0,"R$3,500",R$260,R$53,"R$3,813"
1,192,3,3,2,13,acept,not furnished,"R$2,100","R$7,800",R$634,R$99,"R$10,630"
1,93,3,2,1,10,acept,not furnished,"R$1,497","R$3,500",R$227,R$45,"R$5,269"
1,155,3,3,2,-,acept,not furnished,R$0,"R$2,650",R$233,R$40,"R$2,923"
1,80,2,2,0,9,not acept,not furnished,R$600,"R$2,550",R$46,R$33,"R$3,229"
1,65,2,2,2,14,not acept,not furnished,R$907,"R$3,500",R$0,R$45,"R$4,452"
1,320,3,3,4,-,acept,not furnished,R$0,"R$9,000","R$1,000",R$136,"R$10,140"
1,180,3,5,3,3,acept,not furnished,"R$2,900","R$8,100",R$0,R$103,"R$11,100"
1,31,1,1,1,4,acept,not furnished,R$272,"R$3,200",R$64,R$41,"R$3,577"
1,105,4,2,2,3,acept,not furnished,"R$1,659","R$6,500",R$400,R$83,"R$8,642"
1,300,3,4,2,9,acept,furnished,"R$2,000","R$14,000","R$1,084",R$178,"R$17,260"
