city,area,rooms,bathroom,parking spaces,floor,animal,furniture,Hassoc_tax,rent,prop_tax,fire_insur
1,240,3,3,4,0,acept,furnished,0,8000,1000,121
0,64,2,1,1,10,acept,not furnished,540,820,122,11
1,443,5,5,4,3,acept,furnished,4172,7000,1417,89
1,73,2,2,1,12,acept,not furnished,700,1250,150,16
1,19,1,1,0,0,not acept,not furnished,0,1200,41,16
1,13,1,1,0,2,acept,not furnished,0,2200,42,28
1,55,1,1,1,2,acept,furnished,1950,5000,375,64
1,55,2,2,1,2,acept,not furnished,600,1300,67,17
1,82,3,1,1,3,acept,furnished,828,2000,109,26
1,32,1,1,1,16,acept,not furnished,533,2900,0,37
0,60,1,1,0,6,acept,not furnished,480,720,20,10
0,64,1,2,1,4,acept,furnished,406,1550,0,7
1,20,1,1,0,4,acept,furnished,602,1800,130,23
1,92,2,1,1,7,not acept,furnished,690,3950,0,51
0,56,2,1,1,1,acept,not furnished,345,950,11,13
0,188,2,3,8,0,acept,not furnished,0,3010,584,46
1,100,3,2,1,0,acept,not furnished,0,3500,260,53
1,192,3,3,2,13,acept,not furnished,2100,7800,634,99
1,93,3,2,1,10,acept,not furnished,1497,3500,227,45
1,155,3,3,2,0,acept,not furnished,0,2650,233,40
1,80,2,2,0,9,not acept,not furnished,600,2550,46,33
1,65,2,2,2,14,not acept,not furnished,907,3500,0,45
1,320,3,3,4,0,acept,not furnished,0,9000,1000,136
1,180,3,5,3,3,acept,not furnished,2900,8100,0,103
1,31,1,1,1,4,acept,not furnished,272,3200,64,41
1,105,4,2,2,3,acept,not furnished,1659,6500,400,83
0,150,3,2,2,13,acept,not furnished,1370,1800,250,23
1,130,3,3,2,0,acept,not furnished,0,6000,84,91
1,70,2,1,0,1,acept,not furnished,521,3000,50,39
1,120,3,1,4,0,acept,not furnished,0,3500,234,53
1,250,3,4,2,0,acept,not furnished,300,3480,360,53
1,50,1,1,0,1,acept,not furnished,325,1550,25,20
1,240,3,3,3,3,acept,not furnished,4132,3800,952,49
1,250,4,4,2,0,not acept,not furnished,Sem info,6600,0,100
0,94,3,3,2,1,acept,not furnished,750,2200,192,28
1,176,3,4,3,4,acept,not furnished,1600,6500,775,83
1,180,3,4,5,0,acept,not furnished,Sem info,3300,266,50
1,25,1,1,0,14,acept,not furnished,257,1698,0,22
1,340,3,4,3,0,acept,furnished,0,9800,392,148
1,90,2,1,0,0,not acept,not furnished,0,1450,50,22
0,650,5,4,8,0,acept,furnished,0,8500,442,128
1,100,2,2,0,1,acept,not furnished,0,2700,265,35
1,205,4,4,6,5,acept,not furnished,2450,2720,959,35
1,96,3,3,2,8,acept,not furnished,866,1790,90,23
1,396,4,4,4,0,acept,not furnished,0,10000,750,151
0,74,3,2,1,7,acept,not furnished,650,1600,250,21
0,30,1,1,0,5,not acept,furnished,380,500,10,7
1,64,3,2,1,7,acept,not furnished,522,1400,65,18
1,105,3,2,2,1,acept,furnished,1544,7800,488,99
1,50,1,2,1,10,acept,furnished,1050,5900,259,75
1,60,2,1,0,3,not acept,not furnished,400,1300,0,17
1,50,2,1,1,6,acept,furnished,585,2000,49,26
1,90,2,2,0,0,acept,not furnished,0,1700,38,26
1,130,3,2,1,8,not acept,furnished,1200,7500,417,96
1,20,1,1,0,1,not acept,furnished,Incluso,1950,0,25
1,400,4,3,2,0,acept,not furnished,0,5650,338,85
1,220,3,3,5,0,acept,not furnished,0,7500,0,113
1,750,7,6,5,0,acept,furnished,0,5800,559,88
1,20,1,1,0,0,acept,furnished,602,1800,130,23
0,140,3,2,2,15,not acept,not furnished,998,2100,283,27
1,22,1,1,0,0,not acept,not furnished,250,1080,14,14
1,345,2,3,2,4,not acept,not furnished,3655,12000,783,153
0,46,2,1,1,3,not acept,not furnished,250,1100,53,5
1,35,1,1,1,2,not acept,furnished,550,3250,30,42
0,72,2,2,1,2,acept,not furnished,500,1200,97,16
1,60,1,1,2,2,not acept,not furnished,3398,1900,288,25
1,180,3,2,4,0,not acept,furnished,0,11000,667,166
1,83,3,2,1,9,not acept,furnished,805,3300,80,42
1,50,1,1,0,1,acept,not furnished,519,1550,28,20
1,38,1,1,1,14,not acept,furnished,1620,3020,279,39
1,140,3,3,2,2,acept,not furnished,1300,2800,292,36
0,62,2,1,1,3,acept,not furnished,485,980,48,13
1,70,1,1,0,2,acept,furnished,1500,4000,284,51
0,55,1,1,0,14,acept,not furnished,600,1100,60,14
0,60,2,1,1,1,not acept,not furnished,430,815,20,6
1,85,2,2,1,6,acept,not furnished,1250,1738,261,23
1,134,3,3,3,11,not acept,not furnished,1655,8000,380,102
1,200,3,2,2,19,acept,not furnished,2573,10000,1121,127
1,170,3,2,2,0,acept,furnished,0,3900,267,59
1,46,1,1,2,16,acept,furnished,2210,6220,255,79
1,20,1,1,0,4,acept,furnished,602,1800,130,23
1,58,2,2,1,5,not acept,furnished,1000,4500,144,58
1,96,3,2,3,4,acept,not furnished,1024,2350,313,30
1,87,3,2,4,14,acept,not furnished,800,2000,67,26
1,42,1,1,0,5,acept,not furnished,350,2400,94,31
1,145,3,3,1,10,acept,furnished,1380,11000,375,140
1,90,2,1,1,1,acept,not furnished,1000,3000,50,39
1,250,6,2,2,0,acept,not furnished,0,2472,26,38
1,500,3,4,5,0,acept,furnished,0,7620,1094,115
1,80,2,2,2,6,acept,furnished,1581,8800,112,112
0,120,3,2,3,0,acept,not furnished,0,2500,180,38
0,265,3,3,2,0,acept,not furnished,0,2400,140,37
0,50,2,1,1,4,acept,not furnished,330,1080,0,14
0,126,3,3,2,1,acept,not furnished,780,3800,167,49
0,55,2,1,1,1,acept,not furnished,390,720,0,10
1,29,1,1,1,20,acept,furnished,700,2700,84,35
1,59,2,1,1,24,acept,not furnished,514,2450,138,32
1,200,2,4,4,4,acept,not furnished,2450,7800,1417,99
1,74,3,2,1,7,acept,not furnished,577,2196,100,28
1,290,4,5,2,6,acept,not furnished,4300,10000,875,127
1,172,3,4,3,1,acept,not furnished,1596,8000,820,102
1,25,1,1,0,5,not acept,furnished,270,2600,67,33
1,50,1,1,1,0,acept,not furnished,0,1100,0,17
1,40,1,1,0,3,acept,not furnished,300,1100,0,14
1,80,2,2,2,0,acept,not furnished,0,2465,0,38
1,280,6,6,3,0,acept,not furnished,0,5000,1118,76
1,60,1,1,1,12,acept,furnished,850,4723,0,18
1,115,2,3,2,8,acept,not furnished,1380,12000,790,153
1,76,2,1,1,12,not acept,furnished,906,4250,217,54
0,150,4,5,2,1,acept,not furnished,1100,2980,360,38
1,130,3,2,1,8,acept,not furnished,2400,5500,209,70
0,64,2,1,1,0,acept,not furnished,441,730,18,10
1,55,2,2,1,2,acept,not furnished,420,1300,50,17
1,50,1,1,0,1,acept,not furnished,600,1300,0,17
1,120,2,3,2,20,acept,not furnished,2000,7000,180,89
0,236,3,4,4,10,acept,not furnished,1600,11000,440,140
0,30,1,1,0,4,acept,not furnished,336,550,10,7
0,270,3,3,0,0,acept,furnished,0,8000,500,121
0,48,1,1,0,9,acept,not furnished,350,670,21,9
0,198,6,3,4,0,acept,not furnished,0,2000,145,31
1,50,1,1,0,0,acept,not furnished,0,1080,59,17
1,185,3,3,3,20,acept,not furnished,2670,5600,907,71
1,440,4,4,4,0,acept,not furnished,0,12000,2500,181
0,119,3,2,2,7,acept,not furnished,1650,1200,212,16
1,57,2,2,2,16,acept,not furnished,510,1690,11,22
1,65,2,1,1,1,acept,not furnished,100,1400,84,18
1,35,2,1,1,0,acept,not furnished,125,2100,0,32
0,51,1,2,1,16,not acept,not furnished,703,2100,150,27
0,70,2,3,1,7,acept,not furnished,1196,2004,0,26
1,90,2,1,1,0,acept,not furnished,Incluso,1500,0,23
1,320,3,4,3,8,acept,not furnished,3400,6800,1,87
1,70,2,1,1,6,acept,not furnished,660,3800,45,49
1,169,4,6,3,7,acept,furnished,2560,10000,734,127
1,33,1,1,0,1,not acept,not furnished,338,1100,63,14
1,225,4,4,3,7,acept,not furnished,2800,5000,1267,64
1,42,1,1,0,2,acept,furnished,0,3256,0,42
1,120,3,4,1,0,not acept,not furnished,0,4000,4,61
1,70,3,2,2,3,not acept,not furnished,750,1500,148,20
1,90,1,1,2,0,acept,furnished,0,3200,137,49
1,260,4,5,4,9,acept,furnished,2014,3300,1000,42
1,243,3,3,4,10,acept,not furnished,2678,5500,1950,70
1,100,1,1,0,0,acept,not furnished,0,1530,0,12
