city,area,rooms,bathroom,parking spaces,floor,animal,furniture,Hassoc_tax,rent,prop_tax,fire_insur
city1,240,3,3,4,0,acept,furnished,0,8000,1000,121
city0,64,2,1,1,10,acept,not furnished,540,820,122,11
city1,73,2,2,1,12,acept,not furnished,700,1250,150,16
city1,19,1,1,0,0,not acept,not furnished,0,1200,41,16
city1,13,1,1,0,2,acept,not furnished,0,2200,42,28
city1,55,1,1,1,2,acept,furnished,1950,5000,375,64
city1,55,2,2,1,2,acept,not furnished,600,1300,67,17
city1,82,3,1,1,3,acept,furnished,828,2000,109,26
city1,32,1,1,1,16,acept,not furnished,533,2900,0,37
city0,60,1,1,0,6,acept,not furnished,480,720,20,10
city0,64,1,2,1,4,acept,furnished,406,1550,0,7
city1,20,1,1,0,4,acept,furnished,602,1800,130,23
city1,92,2,1,1,7,not acept,furnished,690,3950,0,51
city0,56,2,1,1,1,acept,not furnished,345,950,11,13
city0,188,2,3,8,0,acept,not furnished,0,3010,584,46
city1,100,3,2,1,0,acept,not furnished,0,3500,260,53
city1,192,3,3,2,13,acept,not furnished,2100,7800,634,99
city1,93,3,2,1,10,acept,not furnished,1497,3500,227,45
city1,155,3,3,2,0,acept,not furnished,0,2650,233,40
city1,80,2,2,0,9,not acept,not furnished,600,2550,46,33
city1,65,2,2,2,14,not acept,not furnished,907,3500,0,45
city1,320,3,3,4,0,acept,not furnished,0,9000,1000,136
city1,180,3,5,3,3,acept,not furnished,2900,8100,0,103
city1,31,1,1,1,4,acept,not furnished,272,3200,64,41
city1,105,4,2,2,3,acept,not furnished,1659,6500,400,83
city0,150,3,2,2,13,acept,not furnished,1370,1800,250,23
city1,130,3,3,2,0,acept,not furnished,0,6000,84,91
city1,70,2,1,0,1,acept,not furnished,521,3000,50,39
city1,120,3,1,4,0,acept,not furnished,0,3500,234,53
city1,250,3,4,2,0,acept,not furnished,300,3480,360,53
city1,50,1,1,0,1,acept,not furnished,325,1550,25,20
city1,240,3,3,3,3,acept,not furnished,4132,3800,952,49
city0,94,3,3,2,1,acept,not furnished,750,2200,192,28
city1,176,3,4,3,4,acept,not furnished,1600,6500,775,83
city1,25,1,1,0,14,acept,not furnished,257,1698,0,22
city1,90,2,1,0,0,not acept,not furnished,0,1450,50,22
city1,100,2,2,0,1,acept,not furnished,0,2700,265,35
city1,205,4,4,6,5,acept,not furnished,2450,2720,959,35
city1,96,3,3,2,8,acept,not furnished,866,1790,90,23
city0,74,3,2,1,7,acept,not furnished,650,1600,250,21
city0,30,1,1,0,5,not acept,furnished,380,500,10,7
city1,64,3,2,1,7,acept,not furnished,522,1400,65,18
city1,105,3,2,2,1,acept,furnished,1544,7800,488,99
city1,50,1,2,1,10,acept,furnished,1050,5900,259,75
city1,60,2,1,0,3,not acept,not furnished,400,1300,0,17
city1,50,2,1,1,6,acept,furnished,585,2000,49,26
city1,90,2,2,0,0,acept,not furnished,0,1700,38,26
city1,130,3,2,1,8,not acept,furnished,1200,7500,417,96
city1,20,1,1,0,1,not acept,furnished,0,1950,0,25
city1,220,3,3,5,0,acept,not furnished,0,7500,0,113
city1,20,1,1,0,0,acept,furnished,602,1800,130,23
city0,140,3,2,2,15,not acept,not furnished,998,2100,283,27
city1,22,1,1,0,0,not acept,not furnished,250,1080,14,14
city0,46,2,1,1,3,not acept,not furnished,250,1100,53,5
city1,35,1,1,1,2,not acept,furnished,550,3250,30,42
city0,72,2,2,1,2,acept,not furnished,500,1200,97,16
city1,60,1,1,2,2,not acept,not furnished,3398,1900,288,25
city1,180,3,2,4,0,not acept,furnished,0,11000,667,166
city1,83,3,2,1,9,not acept,furnished,805,3300,80,42
city1,50,1,1,0,1,acept,not furnished,519,1550,28,20
city1,38,1,1,1,14,not acept,furnished,1620,3020,279,39
city1,140,3,3,2,2,acept,not furnished,1300,2800,292,36
city0,62,2,1,1,3,acept,not furnished,485,980,48,13
city1,70,1,1,0,2,acept,furnished,1500,4000,284,51
city0,55,1,1,0,14,acept,not furnished,600,1100,60,14
city0,60,2,1,1,1,not acept,not furnished,430,815,20,6
city1,85,2,2,1,6,acept,not furnished,1250,1738,261,23
city1,134,3,3,3,11,not acept,not furnished,1655,8000,380,102
city1,200,3,2,2,19,acept,not furnished,2573,10000,1121,127
city1,170,3,2,2,0,acept,furnished,0,3900,267,59
city1,46,1,1,2,16,acept,furnished,2210,6220,255,79
city1,58,2,2,1,5,not acept,furnished,1000,4500,144,58
city1,96,3,2,3,4,acept,not furnished,1024,2350,313,30
city1,87,3,2,4,14,acept,not furnished,800,2000,67,26
city1,42,1,1,0,5,acept,not furnished,350,2400,94,31
city1,145,3,3,1,10,acept,furnished,1380,11000,375,140
city1,90,2,1,1,1,acept,not furnished,1000,3000,50,39
city1,250,6,2,2,0,acept,not furnished,0,2472,26,38
city1,80,2,2,2,6,acept,furnished,1581,8800,112,112
city0,120,3,2,3,0,acept,not furnished,0,2500,180,38
city0,265,3,3,2,0,acept,not furnished,0,2400,140,37
city0,50,2,1,1,4,acept,not furnished,330,1080,0,14
city0,126,3,3,2,1,acept,not furnished,780,3800,167,49
city0,55,2,1,1,1,acept,not furnished,390,720,0,10
city1,29,1,1,1,20,acept,furnished,700,2700,84,35
city1,59,2,1,1,24,acept,not furnished,514,2450,138,32
city1,200,2,4,4,4,acept,not furnished,2450,7800,1417,99
city1,74,3,2,1,7,acept,not furnished,577,2196,100,28
city1,290,4,5,2,6,acept,not furnished,4300,10000,875,127
city1,172,3,4,3,1,acept,not furnished,1596,8000,820,102
city1,25,1,1,0,5,not acept,furnished,270,2600,67,33
city1,50,1,1,1,0,acept,not furnished,0,1100,0,17
city1,40,1,1,0,3,acept,not furnished,300,1100,0,14
city1,80,2,2,2,0,acept,not furnished,0,2465,0,38
